e,b,vi,ji,n12,n23,n31,nd,nc,v,vw,j,jw,delta_e
40000.0,4.0,3.0,3,1,0,0,0,0,7.0,3.165e+00,11.0,2.764e-04,6.622595527527864e-11
40000.0,4.25,3.0,3,1,0,0,0,0,1.0,1.999e+00,11.0,9.441e-01,-8.428011830097226e-09
40000.0,4.25,3.0,3,1,0,0,0,0,1.0,4.144e-01,6.0,4.288e-05,-7.3498200303667716e-09
40000.0,4.25,3.0,3,1,0,0,0,0,2.0,4.063e-02,16.0,1.095e+01,-5.368263583660493e-09
40000.0,4.25,3.0,3,1,0,0,0,0,1.0,1.120e+01,10.0,1.988e-05,-8.913835752855093e-09
40000.0,4.25,3.0,3,1,0,0,0,0,2.0,1.067e-10,10.0,5.632e+00,-1.6564591920342764e-09
40000.0,4.25,3.0,3,1,0,0,0,0,2.0,1.273e-14,6.0,7.436e-25,1.8675157670289266e-09
40000.0,4.25,3.0,3,1,0,0,0,0,3.0,1.006e+01,14.0,4.538e-10,-2.798540565951413e-09
40000.0,4.25,3.0,3,1,0,0,0,0,6.0,2.639e-24,3.0,4.639e-16,4.246512419481263e-09
40000.0,4.25,3.0,3,1,0,0,0,0,0.0,8.736e-06,23.0,3.457e-05,-1.9868280354273793e-08
40000.0,4.25,3.0,3,1,0,0,0,0,3.0,1.557e-38,10.0,2.794e+00,-7.796293749473548e-10
40000.0,4.5,3.0,3,1,0,0,0,0,1.0,1.774e-15,19.0,2.344e-14,-1.0095020402944854e-08
40000.0,4.5,3.0,3,1,0,0,0,0,1.0,8.795e-02,18.0,8.540e-04,-9.39685421141867e-09
40000.0,4.5,3.0,3,1,0,0,0,0,1.0,9.281e-02,1.0,1.652e-03,-9.967592459747543e-09
40000.0,4.5,3.0,3,1,0,0,0,0,2.0,6.303e-24,10.0,3.342e-08,-1.6406561803572473e-09
40000.0,4.5,3.0,3,1,0,0,0,0,1.0,3.911e-09,10.0,1.932e-14,-2.594224515761745e-09
40000.0,4.5,3.0,3,1,0,0,0,0,3.0,3.305e-13,3.0,2.597e-35,3.4128083553630617e-09
40000.0,4.5,3.0,3,1,0,0,0,0,9.0,1.110e+01,9.0,1.171e-26,5.725098589648425e-10
40000.0,4.5,3.0,3,1,0,0,0,0,6.0,1.935e-10,10.0,3.335e-26,1.735334098640351e-12
40000.0,4.5,3.0,3,1,0,0,0,0,1.0,9.982e-05,5.0,4.635e-10,-5.655762136402842e-09
40000.0,4.5,3.0,3,1,0,0,0,0,3.0,2.361e-12,3.0,1.119e+01,3.700582576482425e-09
40000.0,4.75,3.0,3,1,0,0,0,0,1.0,1.237e-03,15.0,1.857e-40,-9.96436483324814e-09
40000.0,4.75,3.0,3,1,0,0,0,0,1.0,1.487e-27,15.0,4.083e-07,-1.5667131633700926e-08
40000.0,4.75,3.0,3,1,0,0,0,0,1.0,2.011e-05,10.0,3.280e-01,-1.1957720105759684e-08
40000.0,4.75,3.0,3,1,0,0,0,0,1.0,2.060e-06,4.0,2.156e-41,-1.0864391761233883e-08
40000.0,4.75,3.0,3,1,0,0,0,0,2.0,8.036e-11,5.0,7.037e-03,1.4126571301620316e-09
40000.0,4.75,3.0,3,1,0,0,0,0,5.0,1.927e-14,7.0,1.424e-24,1.326858553585275e-09
40000.0,4.75,3.0,3,1,0,0,0,0,5.0,1.325e+00,7.0,3.315e+00,2.158644013539046e-09
40000.0,4.75,3.0,3,1,0,0,0,0,4.0,5.460e-19,7.0,4.768e-12,1.2528232617992074e-09
40000.0,4.75,3.0,3,1,0,0,0,0,0.0,5.206e-32,12.0,4.769e-20,-2.0581435472566412e-08
40000.0,4.75,3.0,3,1,0,0,0,0,1.0,7.293e-18,9.0,1.487e-02,-1.4003946349760987e-08
40000.0,0.0,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,1.02148028924276e-09
40000.0,0.0,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,9.938613751425684e-10
40000.0,0.0,3.0,3,0,1,0,0,0,14.0,4.871e-08,26.0,1.386e-30,1.1482317735511671e-09
40000.0,0.0,3.0,3,0,0,1,0,0,7.0,1.167e-07,8.0,1.830e+00,6.322418907855898e-10
40000.0,0.0,3.0,3,0,1,0,0,0,5.0,6.130e-24,8.0,9.021e-06,1.2110981870150361e-09
40000.0,0.0,3.0,3,1,0,0,0,0,6.0,3.579e-01,23.0,3.938e-01,-2.0162774089227398e-09
40000.0,0.0,3.0,3,1,0,0,0,0,1.0,4.104e-18,21.0,6.385e-17,-9.42063038689156e-09
40000.0,0.0,3.0,3,1,0,0,0,0,4.0,2.575e-42,14.0,3.939e-19,-3.500343043194576e-09
40000.0,0.0,3.0,3,1,0,0,0,0,12.0,2.043e-41,7.0,1.004e-18,8.173151946899715e-10
40000.0,0.0,3.0,3,1,0,0,0,0,1.0,9.171e-39,6.0,4.162e-07,-1.3043991456407333e-08
40000.0,0.25,3.0,3,0,0,0,1,0,0,0.000e+00,0,0.000e+00,1.0724027048325535e-09
40000.0,0.25,3.0,3,0,1,0,0,0,19.0,5.117e-16,8.0,1.122e-36,1.0683392920318724e-09
40000.0,0.25,3.0,3,0,0,1,0,0,17.0,3.709e-02,15.0,1.220e-01,1.0014338525099475e-09
40000.0,0.25,3.0,3,0,1,0,0,0,8.0,4.218e-31,3.0,1.960e-11,7.142477442823036e-10
40000.0,0.25,3.0,3,0,0,1,0,0,7.0,5.409e-19,18.0,1.383e-30,1.0568184799497615e-09
40000.0,0.25,3.0,3,1,0,0,0,0,6.0,5.545e-33,17.0,8.948e+00,-2.580233533777676e-09
